row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
301.0,Melanoma of the skin,2018,Males,South Australia,476,55.2,62,7.2,Male,867603
302.0,Melanoma of the skin,2018,Males,Tasmania,205,77.0,33,12.4,Male,268840
303.0,Melanoma of the skin,2018,Males,Australian Capital Territory,114,56.7,12,6.1,Male,212822
304.0,Melanoma of the skin,2018,Males,Northern Territory,53,41.4,5,4.1,Male,127221
305.0,Melanoma of the skin,2018,Males,,8807,71.1,966,7.8,Male,12481024
306.0,Melanoma of the skin,2018,Females,New South Wales,2021,50.5,139,3.5,Female,4027298
307.0,Melanoma of the skin,2018,Females,Victoria,1311,40.4,97,3.0,Female,3272503
308.0,Melanoma of the skin,2018,Females,Queensland,1731,68.5,88,3.5,Female,2546592
309.0,Melanoma of the skin,2018,Females,Western Australia,627,48.0,52,4.0,Female,1316570
310.0,Melanoma of the skin,2018,Females,South Australia,309,35.0,23,2.6,Female,888112
311.0,Melanoma of the skin,2018,Females,Tasmania,196,72.3,12,4.4,Female,274087
312.0,Melanoma of the skin,2018,Females,Australian Capital Territory,81,39.7,8,3.9,Female,217936
313.0,Melanoma of the skin,2018,Females,Northern Territory,30,25.8,2,n.p.,Female,119997
314.0,Melanoma of the skin,2018,Females,,6315,50.2,417,3.3,Female,12665116
315.0,Melanoma of the skin,2018,Persons,New South Wales,5005,62.9,472,5.9,Person,8003564
316.0,Melanoma of the skin,2018,Persons,Victoria,3078,47.9,292,4.5,Person,6479695
317.0,Melanoma of the skin,2018,Persons,Queensland,4072,81.3,323,6.5,Person,5046434
318.0,Melanoma of the skin,2018,Persons,Western Australia,1484,56.7,132,5.0,Person,2636404
319.0,Melanoma of the skin,2018,Persons,South Australia,785,45.0,85,4.9,Person,1755715
320.0,Melanoma of the skin,2018,Persons,Tasmania,401,74.6,45,8.4,Person,542927
321.0,Melanoma of the skin,2018,Persons,Australian Capital Territory,195,48.1,20,5.0,Person,430758
322.0,Melanoma of the skin,2018,Persons,Northern Territory,83,33.9,7,2.8,Person,247095
323.0,Melanoma of the skin,2018,Persons,,15123,60.6,1383,5.5,Person,25146140
324.0,Melanoma of the skin,2019,Males,New South Wales,3012,75.3,307,7.7,Male,4019498
325.0,Melanoma of the skin,2019,Males,Victoria,1632,50.4,189,5.8,Male,3262240
326.0,Melanoma of the skin,2019,Males,Queensland,2601,103.2,212,8.4,Male,2540680
327.0,Melanoma of the skin,2019,Males,Western Australia,945,71.0,104,7.8,Male,1345064
328.0,Melanoma of the skin,2019,Males,South Australia,545,62.4,79,9.0,Male,878768
329.0,Melanoma of the skin,2019,Males,Tasmania,224,82.6,26,9.6,Male,273893
330.0,Melanoma of the skin,2019,Males,Australian Capital Territory,120,58.3,14,6.9,Male,217500
331.0,Melanoma of the skin,2019,Males,Northern Territory,55,43.3,6,4.6,Male,126289
332.0,Melanoma of the skin,2019,Males,,9135,72.6,942,7.5,Male,12665662
333.0,Melanoma of the skin,2019,Females,New South Wales,2077,51.3,157,3.9,Female,4068863
334.0,Melanoma of the skin,2019,Females,Victoria,1202,36.4,85,2.6,Female,3327810
335.0,Melanoma of the skin,2019,Females,Queensland,1845,71.9,99,3.9,Female,2589061
336.0,Melanoma of the skin,2019,Females,Western Australia,676,50.9,45,3.4,Female,1343735
337.0,Melanoma of the skin,2019,Females,South Australia,357,39.9,33,3.7,Female,900160
338.0,Melanoma of the skin,2019,Females,Tasmania,188,68.0,14,5.1,Female,279447
339.0,Melanoma of the skin,2019,Females,Australian Capital Territory,86,40.8,8,3.7,Female,222767
340.0,Melanoma of the skin,2019,Females,Northern Territory,33,27.6,1,n.p.,Female,120727
341.0,Melanoma of the skin,2019,Females,,6491,50.9,441,3.5,Female,12854806
342.0,Melanoma of the skin,2019,Persons,New South Wales,5089,63.2,464,5.8,Person,8088361
343.0,Melanoma of the skin,2019,Persons,Victoria,2834,43.4,274,4.2,Person,6590050
344.0,Melanoma of the skin,2019,Persons,Queensland,4446,87.4,311,6.1,Person,5129741
345.0,Melanoma of the skin,2019,Persons,Western Australia,1621,60.9,149,5.6,Person,2688799
346.0,Melanoma of the skin,2019,Persons,South Australia,902,51.0,112,6.3,Person,1778928
347.0,Melanoma of the skin,2019,Persons,Tasmania,412,75.2,40,7.3,Person,553340
348.0,Melanoma of the skin,2019,Persons,Australian Capital Territory,205,49.5,22,5.3,Person,440267
349.0,Melanoma of the skin,2019,Persons,Northern Territory,88,35.7,7,2.9,Person,246677
350.0,Melanoma of the skin,2019,Persons,,15626,61.7,1383,5.5,Person,25520468
351.0,Melanoma of the skin,2020,Males,New South Wales,2894,71.8,347,8.6,Male,4031001
352.0,Melanoma of the skin,2020,Males,Victoria,1493,45.6,183,5.6,Male,3274653
353.0,Melanoma of the skin,2020,Males,Queensland,2408,94.1,222,8.7,Male,2568499
354.0,Melanoma of the skin,2020,Males,Western Australia,817,60.2,85,6.3,Male,1364994
355.0,Melanoma of the skin,2020,Males,South Australia,544,61.5,68,7.7,Male,886475
356.0,Melanoma of the skin,2020,Males,Tasmania,221,80.1,28,10.1,Male,278353
357.0,Melanoma of the skin,2020,Males,Australian Capital Territory,120,57.2,15,7.1,Male,220886
358.0,Melanoma of the skin,2020,Males,Northern Territory,55,43.4,5,3.6,Male,126133
359.0,Melanoma of the skin,2020,Males,,8546,67.1,954,7.5,Male,12728639
360.0,Melanoma of the skin,2020,Females,New South Wales,2024,49.6,146,3.6,Female,4081000
361.0,Melanoma of the skin,2020,Females,Victoria,1093,32.7,98,2.9,Female,3341983
362.0,Melanoma of the skin,2020,Females,Queensland,1761,67.5,105,4.0,Female,2615830
363.0,Melanoma of the skin,2020,Females,Western Australia,597,44.0,38,2.8,Female,1363193
364.0,Melanoma of the skin,2020,Females,South Australia,347,38.3,39,4.3,Female,908039
365.0,Melanoma of the skin,2020,Females,Tasmania,205,72.8,9,3.2,Female,283528
366.0,Melanoma of the skin,2020,Females,Australian Capital Territory,85,39.4,8,3.7,Female,226764
367.0,Melanoma of the skin,2020,Females,Northern Territory,33,27.7,2,n.p.,Female,121772
368.0,Melanoma of the skin,2020,Females,,6135,47.5,445,3.4,Female,12920609
369.0,Melanoma of the skin,2020,Persons,New South Wales,4918,60.6,493,6.1,Person,8112001
370.0,Melanoma of the skin,2020,Persons,Victoria,2586,39.1,281,4.2,Person,6616636
371.0,Melanoma of the skin,2020,Persons,Queensland,4169,80.7,327,6.3,Person,5184329
372.0,Melanoma of the skin,2020,Persons,Western Australia,1417,52.2,123,4.5,Person,2728187
373.0,Melanoma of the skin,2020,Persons,South Australia,891,49.8,107,6.0,Person,1794514
374.0,Melanoma of the skin,2020,Persons,Tasmania,428,76.8,37,6.6,Person,561881
375.0,Melanoma of the skin,2020,Persons,Australian Capital Territory,205,48.2,23,5.4,Person,447650
376.0,Melanoma of the skin,2020,Persons,Northern Territory,88,35.8,6,2.5,Person,247819
377.0,Melanoma of the skin,2020,Persons,,14686,57.3,1399,5.5,Person,25649248
378.0,Non-melanoma skin cancer (rare types),2007,Males,New South Wales,178,5.3,35,1.0,Male,3413653
379.0,Non-melanoma skin cancer (rare types),2007,Males,Victoria,53,2.1,6,0.2,Male,2574619
380.0,Non-melanoma skin cancer (rare types),2007,Males,Queensland,109,5.3,23,1.1,Male,2076128
381.0,Non-melanoma skin cancer (rare types),2007,Males,Western Australia,48,4.5,12,1.1,Male,1075987
382.0,Non-melanoma skin cancer (rare types),2007,Males,South Australia,14,1.8,4,n.p.,Male,779355
383.0,Non-melanoma skin cancer (rare types),2007,Males,Tasmania,12,4.9,1,n.p.,Male,245319
384.0,Non-melanoma skin cancer (rare types),2007,Males,Australian Capital Territory,5,2.9,1,n.p.,Male,170383
385.0,Non-melanoma skin cancer (rare types),2007,Males,Northern Territory,0,n.p.,0,n.p.,Male,112777
386.0,Non-melanoma skin cancer (rare types),2007,Males,,416,4.0,82,0.8,Male,10449776
387.0,Non-melanoma skin cancer (rare types),2007,Females,New South Wales,119,3.5,22,0.6,Female,3470199
388.0,Non-melanoma skin cancer (rare types),2007,Females,Victoria,36,1.4,5,0.2,Female,2624884
389.0,Non-melanoma skin cancer (rare types),2007,Females,Queensland,49,2.4,8,0.4,Female,2083862
390.0,Non-melanoma skin cancer (rare types),2007,Females,Western Australia,25,2.4,7,0.7,Female,1059019
391.0,Non-melanoma skin cancer (rare types),2007,Females,South Australia,7,0.9,5,0.6,Female,799134
392.0,Non-melanoma skin cancer (rare types),2007,Females,Tasmania,6,2.4,5,2.0,Female,250539
393.0,Non-melanoma skin cancer (rare types),2007,Females,Australian Capital Territory,2,n.p.,0,n.p.,Female,173793
394.0,Non-melanoma skin cancer (rare types),2007,Females,Northern Territory,0,0.0,0,0.0,Female,103841
395.0,Non-melanoma skin cancer (rare types),2007,Females,,242,2.3,52,0.5,Female,10566345
396.0,Non-melanoma skin cancer (rare types),2007,Persons,New South Wales,297,4.3,57,0.8,Person,6883852
397.0,Non-melanoma skin cancer (rare types),2007,Persons,Victoria,89,1.7,11,0.2,Person,5199503
398.0,Non-melanoma skin cancer (rare types),2007,Persons,Queensland,158,3.8,31,0.8,Person,4159990
399.0,Non-melanoma skin cancer (rare types),2007,Persons,Western Australia,73,3.5,19,0.9,Person,2135006
400.0,Non-melanoma skin cancer (rare types),2007,Persons,South Australia,21,1.3,9,0.6,Person,1578489
401.0,Non-melanoma skin cancer (rare types),2007,Persons,Tasmania,18,3.6,6,1.2,Person,495858
402.0,Non-melanoma skin cancer (rare types),2007,Persons,Australian Capital Territory,7,2.2,1,n.p.,Person,344176
403.0,Non-melanoma skin cancer (rare types),2007,Persons,Northern Territory,0,n.p.,0,n.p.,Person,216618
404.0,Non-melanoma skin cancer (rare types),2007,Persons,,658,3.2,134,0.6,Person,21016121
405.0,Non-melanoma skin cancer (rare types),2008,Males,New South Wales,166,4.8,28,0.8,Male,3476199
406.0,Non-melanoma skin cancer (rare types),2008,Males,Victoria,40,1.5,6,0.2,Male,2633317
407.0,Non-melanoma skin cancer (rare types),2008,Males,Queensland,119,5.6,25,1.2,Male,2135996
408.0,Non-melanoma skin cancer (rare types),2008,Males,Western Australia,52,4.7,5,0.5,Male,1113633
409.0,Non-melanoma skin cancer (rare types),2008,Males,South Australia,11,1.4,4,n.p.,Male,789696
410.0,Non-melanoma skin cancer (rare types),2008,Males,Tasmania,7,2.8,2,n.p.,Male,248714
411.0,Non-melanoma skin cancer (rare types),2008,Males,Australian Capital Territory,4,n.p.,2,n.p.,Male,174242
412.0,Non-melanoma skin cancer (rare types),2008,Males,Northern Territory,1,n.p.,0,n.p.,Male,116223
413.0,Non-melanoma skin cancer (rare types),2008,Males,,402,3.8,75,0.7,Male,10689738
414.0,Non-melanoma skin cancer (rare types),2008,Females,New South Wales,127,3.6,24,0.7,Female,3525583
415.0,Non-melanoma skin cancer (rare types),2008,Females,Victoria,30,1.1,6,0.2,Female,2679968
416.0,Non-melanoma skin cancer (rare types),2008,Females,Queensland,38,1.8,11,0.5,Female,2139555
417.0,Non-melanoma skin cancer (rare types),2008,Females,Western Australia,29,2.7,3,n.p.,Female,1095295
418.0,Non-melanoma skin cancer (rare types),2008,Females,South Australia,6,0.7,4,n.p.,Female,808184
419.0,Non-melanoma skin cancer (rare types),2008,Females,Tasmania,8,3.2,0,0.0,Female,253060
420.0,Non-melanoma skin cancer (rare types),2008,Females,Australian Capital Territory,2,n.p.,0,n.p.,Female,176859
421.0,Non-melanoma skin cancer (rare types),2008,Females,Northern Territory,0,n.p.,0,0.0,Female,106303
422.0,Non-melanoma skin cancer (rare types),2008,Females,,241,2.3,48,0.4,Female,10785887
423.0,Non-melanoma skin cancer (rare types),2008,Persons,New South Wales,293,4.2,52,0.7,Person,7001782
424.0,Non-melanoma skin cancer (rare types),2008,Persons,Victoria,70,1.3,12,0.2,Person,5313285
425.0,Non-melanoma skin cancer (rare types),2008,Persons,Queensland,157,3.7,36,0.9,Person,4275551
426.0,Non-melanoma skin cancer (rare types),2008,Persons,Western Australia,81,3.7,8,0.4,Person,2208928
427.0,Non-melanoma skin cancer (rare types),2008,Persons,South Australia,17,1.1,8,0.5,Person,1597880
428.0,Non-melanoma skin cancer (rare types),2008,Persons,Tasmania,15,3.0,2,n.p.,Person,501774
429.0,Non-melanoma skin cancer (rare types),2008,Persons,Australian Capital Territory,6,1.7,2,n.p.,Person,351101
430.0,Non-melanoma skin cancer (rare types),2008,Persons,Northern Territory,1,n.p.,0,n.p.,Person,222526
431.0,Non-melanoma skin cancer (rare types),2008,Persons,,643,3.0,123,0.6,Person,21475625
432.0,Non-melanoma skin cancer (rare types),2009,Males,New South Wales,190,5.4,35,1.0,Male,3526643
433.0,Non-melanoma skin cancer (rare types),2009,Males,Victoria,47,1.8,9,0.3,Male,2686022
434.0,Non-melanoma skin cancer (rare types),2009,Males,Queensland,135,6.2,24,1.1,Male,2181500
435.0,Non-melanoma skin cancer (rare types),2009,Males,Western Australia,46,4.1,6,0.5,Male,1140480
436.0,Non-melanoma skin cancer (rare types),2009,Males,South Australia,15,1.9,7,0.9,Male,800926
437.0,Non-melanoma skin cancer (rare types),2009,Males,Tasmania,9,3.6,3,n.p.,Male,251434
438.0,Non-melanoma skin cancer (rare types),2009,Males,Australian Capital Territory,3,n.p.,2,n.p.,Male,177822
439.0,Non-melanoma skin cancer (rare types),2009,Males,Northern Territory,1,n.p.,0,n.p.,Male,119297
440.0,Non-melanoma skin cancer (rare types),2009,Males,,446,4.1,84,0.8,Male,10886022
441.0,Non-melanoma skin cancer (rare types),2009,Females,New South Wales,111,3.1,22,0.6,Female,3574861
442.0,Non-melanoma skin cancer (rare types),2009,Females,Victoria,32,1.2,14,0.5,Female,2733227
443.0,Non-melanoma skin cancer (rare types),2009,Females,Queensland,55,2.5,5,0.2,Female,2185954
444.0,Non-melanoma skin cancer (rare types),2009,Females,Western Australia,31,2.8,5,0.5,Female,1123267
445.0,Non-melanoma skin cancer (rare types),2009,Females,South Australia,10,1.2,5,0.6,Female,817652
446.0,Non-melanoma skin cancer (rare types),2009,Females,Tasmania,5,2.0,0,0.0,Female,255027
447.0,Non-melanoma skin cancer (rare types),2009,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,180037
448.0,Non-melanoma skin cancer (rare types),2009,Females,Northern Territory,0,n.p.,0,0.0,Female,108486
449.0,Non-melanoma skin cancer (rare types),2009,Females,,247,2.3,52,0.5,Female,10979601
450.0,Non-melanoma skin cancer (rare types),2009,Persons,New South Wales,301,4.3,57,0.8,Person,7101504
451.0,Non-melanoma skin cancer (rare types),2009,Persons,Victoria,79,1.5,23,0.4,Person,5419249
452.0,Non-melanoma skin cancer (rare types),2009,Persons,Queensland,190,4.4,29,0.7,Person,4367454
453.0,Non-melanoma skin cancer (rare types),2009,Persons,Western Australia,77,3.4,11,0.5,Person,2263747
454.0,Non-melanoma skin cancer (rare types),2009,Persons,South Australia,25,1.6,12,0.7,Person,1618578
455.0,Non-melanoma skin cancer (rare types),2009,Persons,Tasmania,14,2.8,3,n.p.,Person,506461
456.0,Non-melanoma skin cancer (rare types),2009,Persons,Australian Capital Territory,5,1.6,2,n.p.,Person,357859
457.0,Non-melanoma skin cancer (rare types),2009,Persons,Northern Territory,1,n.p.,0,n.p.,Person,227783
458.0,Non-melanoma skin cancer (rare types),2009,Persons,,693,3.2,136,0.6,Person,21865623
459.0,Non-melanoma skin cancer (rare types),2010,Males,New South Wales,174,4.9,34,1.0,Male,3565558
460.0,Non-melanoma skin cancer (rare types),2010,Males,Victoria,49,1.8,14,0.5,Male,2720959
461.0,Non-melanoma skin cancer (rare types),2010,Males,Queensland,118,5.4,25,1.1,Male,2214429
462.0,Non-melanoma skin cancer (rare types),2010,Males,Western Australia,51,4.4,9,0.8,Male,1167862
463.0,Non-melanoma skin cancer (rare types),2010,Males,South Australia,22,2.7,4,n.p.,Male,808037
464.0,Non-melanoma skin cancer (rare types),2010,Males,Tasmania,12,4.7,1,n.p.,Male,253833
465.0,Non-melanoma skin cancer (rare types),2010,Males,Australian Capital Territory,4,n.p.,2,n.p.,Male,181314
466.0,Non-melanoma skin cancer (rare types),2010,Males,Northern Territory,1,n.p.,0,n.p.,Male,120979
467.0,Non-melanoma skin cancer (rare types),2010,Males,,434,4.0,88,0.8,Male,11034979
468.0,Non-melanoma skin cancer (rare types),2010,Females,New South Wales,120,3.3,18,0.5,Female,3614333
469.0,Non-melanoma skin cancer (rare types),2010,Females,Victoria,33,1.2,7,0.3,Female,2774752
470.0,Non-melanoma skin cancer (rare types),2010,Females,Queensland,64,2.9,15,0.7,Female,2222453
471.0,Non-melanoma skin cancer (rare types),2010,Females,Western Australia,29,2.6,1,n.p.,Female,1151201
472.0,Non-melanoma skin cancer (rare types),2010,Females,South Australia,7,0.9,2,n.p.,Female,824445
473.0,Non-melanoma skin cancer (rare types),2010,Females,Tasmania,10,3.9,2,n.p.,Female,256386
474.0,Non-melanoma skin cancer (rare types),2010,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,183519
475.0,Non-melanoma skin cancer (rare types),2010,Females,Northern Territory,0,n.p.,0,n.p.,Female,109534
476.0,Non-melanoma skin cancer (rare types),2010,Females,,265,2.4,48,0.4,Female,11137490
477.0,Non-melanoma skin cancer (rare types),2010,Persons,New South Wales,294,4.1,52,0.7,Person,7179891
478.0,Non-melanoma skin cancer (rare types),2010,Persons,Victoria,82,1.5,21,0.4,Person,5495711
479.0,Non-melanoma skin cancer (rare types),2010,Persons,Queensland,182,4.1,40,0.9,Person,4436882
480.0,Non-melanoma skin cancer (rare types),2010,Persons,Western Australia,80,3.5,10,0.4,Person,2319063
481.0,Non-melanoma skin cancer (rare types),2010,Persons,South Australia,29,1.8,6,0.4,Person,1632482
482.0,Non-melanoma skin cancer (rare types),2010,Persons,Tasmania,22,4.3,3,n.p.,Person,510219
483.0,Non-melanoma skin cancer (rare types),2010,Persons,Australian Capital Territory,6,1.7,2,n.p.,Person,364833
484.0,Non-melanoma skin cancer (rare types),2010,Persons,Northern Territory,1,n.p.,0,n.p.,Person,230460
485.0,Non-melanoma skin cancer (rare types),2010,Persons,,699,3.2,136,0.6,Person,22172469
486.0,Non-melanoma skin cancer (rare types),2011,Males,New South Wales,188,5.2,37,1.0,Male,3604198
487.0,Non-melanoma skin cancer (rare types),2011,Males,Victoria,38,1.4,16,0.6,Male,2766513
488.0,Non-melanoma skin cancer (rare types),2011,Males,Queensland,122,5.5,22,1.0,Male,2253923
489.0,Non-melanoma skin cancer (rare types),2011,Males,Western Australia,58,4.9,4,n.p.,Male,1202068
490.0,Non-melanoma skin cancer (rare types),2011,Males,South Australia,30,3.7,5,0.6,Male,815608
491.0,Non-melanoma skin cancer (rare types),2011,Males,Tasmania,10,3.9,3,n.p.,Male,254896
492.0,Non-melanoma skin cancer (rare types),2011,Males,Australian Capital Territory,4,n.p.,1,n.p.,Male,184982
493.0,Non-melanoma skin cancer (rare types),2011,Males,Northern Territory,1,n.p.,0,n.p.,Male,122136
494.0,Non-melanoma skin cancer (rare types),2011,Males,,452,4.1,89,0.8,Male,11206252
495.0,Non-melanoma skin cancer (rare types),2011,Females,New South Wales,106,2.9,22,0.6,Female,3654524
496.0,Non-melanoma skin cancer (rare types),2011,Females,Victoria,23,0.8,14,0.5,Female,2825305
497.0,Non-melanoma skin cancer (rare types),2011,Females,Queensland,60,2.7,12,0.5,Female,2264726
498.0,Non-melanoma skin cancer (rare types),2011,Females,Western Australia,39,3.3,2,n.p.,Female,1183879
499.0,Non-melanoma skin cancer (rare types),2011,Females,South Australia,6,0.7,2,n.p.,Female,831575
500.0,Non-melanoma skin cancer (rare types),2011,Females,Tasmania,2,n.p.,0,0.0,Female,256984
501.0,Non-melanoma skin cancer (rare types),2011,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,187088
502.0,Non-melanoma skin cancer (rare types),2011,Females,Northern Territory,0,n.p.,0,n.p.,Female,110816
503.0,Non-melanoma skin cancer (rare types),2011,Females,,238,2.1,52,0.5,Female,11315945
504.0,Non-melanoma skin cancer (rare types),2011,Persons,New South Wales,294,4.1,59,0.8,Person,7258722
505.0,Non-melanoma skin cancer (rare types),2011,Persons,Victoria,61,1.1,30,0.5,Person,5591818
506.0,Non-melanoma skin cancer (rare types),2011,Persons,Queensland,182,4.1,34,0.8,Person,4518649
507.0,Non-melanoma skin cancer (rare types),2011,Persons,Western Australia,97,4.1,6,0.3,Person,2385947
508.0,Non-melanoma skin cancer (rare types),2011,Persons,South Australia,36,2.2,7,0.4,Person,1647183
509.0,Non-melanoma skin cancer (rare types),2011,Persons,Tasmania,12,2.3,3,n.p.,Person,511880
510.0,Non-melanoma skin cancer (rare types),2011,Persons,Australian Capital Territory,6,1.6,2,n.p.,Person,372070
511.0,Non-melanoma skin cancer (rare types),2011,Persons,Northern Territory,2,n.p.,1,n.p.,Person,232952
512.0,Non-melanoma skin cancer (rare types),2011,Persons,,690,3.1,141,0.6,Person,22522197
513.0,Non-melanoma skin cancer (rare types),2012,Males,New South Wales,200,5.5,41,1.1,Male,3650035
514.0,Non-melanoma skin cancer (rare types),2012,Males,Victoria,36,1.3,10,0.4,Male,2825349
515.0,Non-melanoma skin cancer (rare types),2012,Males,Queensland,131,5.7,26,1.1,Male,2299776
516.0,Non-melanoma skin cancer (rare types),2012,Males,Western Australia,71,5.8,19,1.6,Male,1239615
517.0,Non-melanoma skin cancer (rare types),2012,Males,South Australia,24,2.9,5,0.6,Male,823688
518.0,Non-melanoma skin cancer (rare types),2012,Males,Tasmania,11,4.3,1,n.p.,Male,254866
519.0,Non-melanoma skin cancer (rare types),2012,Males,Australian Capital Territory,5,2.6,1,n.p.,Male,188673
520.0,Non-melanoma skin cancer (rare types),2012,Males,Northern Territory,1,n.p.,0,n.p.,Male,125043
521.0,Non-melanoma skin cancer (rare types),2012,Males,,478,4.2,103,0.9,Male,11408788
522.0,Non-melanoma skin cancer (rare types),2012,Females,New South Wales,116,3.2,28,0.8,Female,3703154
523.0,Non-melanoma skin cancer (rare types),2012,Females,Victoria,28,1.0,7,0.2,Female,2884237
524.0,Non-melanoma skin cancer (rare types),2012,Females,Queensland,71,3.1,11,0.5,Female,2311528
525.0,Non-melanoma skin cancer (rare types),2012,Females,Western Australia,47,3.9,3,n.p.,Female,1217874
526.0,Non-melanoma skin cancer (rare types),2012,Females,South Australia,13,1.6,1,n.p.,Female,839394
527.0,Non-melanoma skin cancer (rare types),2012,Females,Tasmania,8,3.1,1,n.p.,Female,257127
528.0,Non-melanoma skin cancer (rare types),2012,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,191139
529.0,Non-melanoma skin cancer (rare types),2012,Females,Northern Territory,1,n.p.,0,n.p.,Female,113685
530.0,Non-melanoma skin cancer (rare types),2012,Females,,286,2.5,51,0.4,Female,11519235
531.0,Non-melanoma skin cancer (rare types),2012,Persons,New South Wales,316,4.3,69,0.9,Person,7353189
532.0,Non-melanoma skin cancer (rare types),2012,Persons,Victoria,64,1.1,17,0.3,Person,5709586
533.0,Non-melanoma skin cancer (rare types),2012,Persons,Queensland,202,4.4,37,0.8,Person,4611304
534.0,Non-melanoma skin cancer (rare types),2012,Persons,Western Australia,118,4.9,22,0.9,Person,2457489
535.0,Non-melanoma skin cancer (rare types),2012,Persons,South Australia,37,2.2,6,0.4,Person,1663082
536.0,Non-melanoma skin cancer (rare types),2012,Persons,Tasmania,19,3.7,2,n.p.,Person,511993
537.0,Non-melanoma skin cancer (rare types),2012,Persons,Australian Capital Territory,7,1.8,2,n.p.,Person,379812
538.0,Non-melanoma skin cancer (rare types),2012,Persons,Northern Territory,2,n.p.,1,n.p.,Person,238728
539.0,Non-melanoma skin cancer (rare types),2012,Persons,,764,3.4,154,0.7,Person,22928023
540.0,Non-melanoma skin cancer (rare types),2013,Males,New South Wales,240,6.5,44,1.2,Male,3698220
541.0,Non-melanoma skin cancer (rare types),2013,Males,Victoria,57,2.0,19,0.7,Male,2884387
542.0,Non-melanoma skin cancer (rare types),2013,Males,Queensland,148,6.4,38,1.6,Male,2333762
543.0,Non-melanoma skin cancer (rare types),2013,Males,Western Australia,87,6.9,11,0.9,Male,1259941
544.0,Non-melanoma skin cancer (rare types),2013,Males,South Australia,23,2.8,6,0.7,Male,830900
545.0,Non-melanoma skin cancer (rare types),2013,Males,Tasmania,12,4.7,1,n.p.,Male,254878
546.0,Non-melanoma skin cancer (rare types),2013,Males,Australian Capital Territory,5,2.7,1,n.p.,Male,191691
547.0,Non-melanoma skin cancer (rare types),2013,Males,Northern Territory,1,n.p.,1,n.p.,Male,126921
548.0,Non-melanoma skin cancer (rare types),2013,Males,,575,5.0,121,1.1,Male,11582448
549.0,Non-melanoma skin cancer (rare types),2013,Females,New South Wales,116,3.1,25,0.7,Female,3756718
550.0,Non-melanoma skin cancer (rare types),2013,Females,Victoria,29,1.0,6,0.2,Female,2948198
551.0,Non-melanoma skin cancer (rare types),2013,Females,Queensland,72,3.1,20,0.9,Female,2351677
552.0,Non-melanoma skin cancer (rare types),2013,Females,Western Australia,44,3.6,10,0.8,Female,1242247
553.0,Non-melanoma skin cancer (rare types),2013,Females,South Australia,9,1.1,3,n.p.,Female,847152
554.0,Non-melanoma skin cancer (rare types),2013,Females,Tasmania,5,1.9,3,n.p.,Female,258137
555.0,Non-melanoma skin cancer (rare types),2013,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,194627
556.0,Non-melanoma skin cancer (rare types),2013,Females,Northern Territory,0,n.p.,0,n.p.,Female,115450
557.0,Non-melanoma skin cancer (rare types),2013,Females,,275,2.4,69,0.6,Female,11715329
558.0,Non-melanoma skin cancer (rare types),2013,Persons,New South Wales,356,4.8,69,0.9,Person,7454938
559.0,Non-melanoma skin cancer (rare types),2013,Persons,Victoria,86,1.5,25,0.4,Person,5832585
560.0,Non-melanoma skin cancer (rare types),2013,Persons,Queensland,220,4.7,58,1.2,Person,4685439
561.0,Non-melanoma skin cancer (rare types),2013,Persons,Western Australia,131,5.3,21,0.8,Person,2502188
562.0,Non-melanoma skin cancer (rare types),2013,Persons,South Australia,32,1.9,9,0.5,Person,1678052
563.0,Non-melanoma skin cancer (rare types),2013,Persons,Tasmania,17,3.3,4,n.p.,Person,513015
564.0,Non-melanoma skin cancer (rare types),2013,Persons,Australian Capital Territory,7,1.8,2,n.p.,Person,386318
565.0,Non-melanoma skin cancer (rare types),2013,Persons,Northern Territory,2,n.p.,1,n.p.,Person,242304
566.0,Non-melanoma skin cancer (rare types),2013,Persons,,850,3.7,190,0.8,Person,23297777
567.0,Non-melanoma skin cancer (rare types),2014,Males,New South Wales,224,6.0,42,1.1,Male,3750061
568.0,Non-melanoma skin cancer (rare types),2014,Males,Victoria,83,2.8,22,0.8,Male,2945763
569.0,Non-melanoma skin cancer (rare types),2014,Males,Queensland,131,5.6,40,1.7,Male,2361282
570.0,Non-melanoma skin cancer (rare types),2014,Males,Western Australia,77,6.1,14,1.1,Male,1271552
571.0,Non-melanoma skin cancer (rare types),2014,Males,South Australia,27,3.2,7,0.8,Male,838094
572.0,Non-melanoma skin cancer (rare types),2014,Males,Tasmania,11,4.3,2,n.p.,Male,255134
573.0,Non-melanoma skin cancer (rare types),2014,Males,Australian Capital Territory,5,2.9,1,n.p.,Male,194291
574.0,Non-melanoma skin cancer (rare types),2014,Males,Northern Territory,2,n.p.,1,n.p.,Male,127079
575.0,Non-melanoma skin cancer (rare types),2014,Males,,561,4.8,129,1.1,Male,11744498
576.0,Non-melanoma skin cancer (rare types),2014,Females,New South Wales,118,3.1,26,0.7,Female,3812110
577.0,Non-melanoma skin cancer (rare types),2014,Females,Victoria,38,1.3,5,0.2,Female,3011749
