row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
69.0,Melanoma of the skin,2009,Females,Australian Capital Territory,57,33.2,6,3.2,Female,180037
70.0,Melanoma of the skin,2009,Females,Northern Territory,20,19.6,1,n.p.,Female,108486
71.0,Melanoma of the skin,2009,Females,,4708,43.2,454,4.2,Female,10979601
72.0,Melanoma of the skin,2009,Persons,New South Wales,3724,52.8,523,7.4,Person,7101504
73.0,Melanoma of the skin,2009,Persons,Victoria,2380,44.3,313,5.8,Person,5419249
74.0,Melanoma of the skin,2009,Persons,Queensland,3051,70.5,290,6.7,Person,4367454
75.0,Melanoma of the skin,2009,Persons,Western Australia,1036,46.2,137,6.1,Person,2263747
76.0,Melanoma of the skin,2009,Persons,South Australia,670,41.6,90,5.6,Person,1618578
77.0,Melanoma of the skin,2009,Persons,Tasmania,274,54.3,34,6.7,Person,506461
78.0,Melanoma of the skin,2009,Persons,Australian Capital Territory,135,39.3,19,5.6,Person,357859
79.0,Melanoma of the skin,2009,Persons,Northern Territory,50,23.3,4,n.p.,Person,227783
80.0,Melanoma of the skin,2009,Persons,,11306,52.1,1410,6.5,Person,21865623
81.0,Melanoma of the skin,2010,Males,New South Wales,2336,65.8,370,10.4,Male,3565558
82.0,Melanoma of the skin,2010,Males,Victoria,1304,48.2,202,7.5,Male,2720959
83.0,Melanoma of the skin,2010,Males,Queensland,1842,83.7,232,10.5,Male,2214429
84.0,Melanoma of the skin,2010,Males,Western Australia,646,56.0,88,7.6,Male,1167862
85.0,Melanoma of the skin,2010,Males,South Australia,386,47.9,67,8.3,Male,808037
86.0,Melanoma of the skin,2010,Males,Tasmania,158,62.5,20,7.9,Male,253833
87.0,Melanoma of the skin,2010,Males,Australian Capital Territory,74,43.0,14,7.9,Male,181314
88.0,Melanoma of the skin,2010,Males,Northern Territory,32,27.7,4,n.p.,Male,120979
89.0,Melanoma of the skin,2010,Males,,6796,62.0,995,9.1,Male,11034979
90.0,Melanoma of the skin,2010,Females,New South Wales,1563,43.5,144,4.0,Female,3614333
91.0,Melanoma of the skin,2010,Females,Victoria,971,35.2,92,3.3,Female,2774752
92.0,Melanoma of the skin,2010,Females,Queensland,1268,57.5,118,5.4,Female,2222453
93.0,Melanoma of the skin,2010,Females,Western Australia,388,34.1,37,3.3,Female,1151201
94.0,Melanoma of the skin,2010,Females,South Australia,311,37.8,18,2.2,Female,824445
95.0,Melanoma of the skin,2010,Females,Tasmania,134,52.4,10,3.9,Female,256386
96.0,Melanoma of the skin,2010,Females,Australian Capital Territory,50,28.5,5,3.1,Female,183519
97.0,Melanoma of the skin,2010,Females,Northern Territory,21,20.2,1,n.p.,Female,109534
98.0,Melanoma of the skin,2010,Females,,4703,42.5,423,3.8,Female,11137490
99.0,Melanoma of the skin,2010,Persons,New South Wales,3899,54.6,514,7.2,Person,7179891
100.0,Melanoma of the skin,2010,Persons,Victoria,2275,41.7,294,5.4,Person,5495711
101.0,Melanoma of the skin,2010,Persons,Queensland,3110,70.6,350,7.9,Person,4436882
102.0,Melanoma of the skin,2010,Persons,Western Australia,1034,45.1,125,5.5,Person,2319063
103.0,Melanoma of the skin,2010,Persons,South Australia,697,42.8,85,5.2,Person,1632482
104.0,Melanoma of the skin,2010,Persons,Tasmania,292,57.4,30,5.9,Person,510219
105.0,Melanoma of the skin,2010,Persons,Australian Capital Territory,124,35.7,19,5.5,Person,364833
106.0,Melanoma of the skin,2010,Persons,Northern Territory,53,24.1,5,2.2,Person,230460
107.0,Melanoma of the skin,2010,Persons,,11499,52.2,1418,6.4,Person,22172469
108.0,Melanoma of the skin,2011,Males,New South Wales,2399,66.9,366,10.2,Male,3604198
109.0,Melanoma of the skin,2011,Males,Victoria,1172,42.8,217,7.9,Male,2766513
110.0,Melanoma of the skin,2011,Males,Queensland,1924,86.1,247,11.1,Male,2253923
111.0,Melanoma of the skin,2011,Males,Western Australia,665,56.1,135,11.4,Male,1202068
112.0,Melanoma of the skin,2011,Males,South Australia,404,49.8,73,9.0,Male,815608
113.0,Melanoma of the skin,2011,Males,Tasmania,131,51.4,27,10.6,Male,254896
114.0,Melanoma of the skin,2011,Males,Australian Capital Territory,76,43.0,12,7.0,Male,184982
115.0,Melanoma of the skin,2011,Males,Northern Territory,33,28.0,3,n.p.,Male,122136
116.0,Melanoma of the skin,2011,Males,,6800,61.2,1076,9.7,Male,11206252
117.0,Melanoma of the skin,2011,Females,New South Wales,1616,44.5,153,4.2,Female,3654524
118.0,Melanoma of the skin,2011,Females,Victoria,900,32.2,107,3.8,Female,2825305
119.0,Melanoma of the skin,2011,Females,Queensland,1379,61.5,96,4.3,Female,2264726
120.0,Melanoma of the skin,2011,Females,Western Australia,449,38.4,46,3.9,Female,1183879
121.0,Melanoma of the skin,2011,Females,South Australia,287,34.7,26,3.1,Female,831575
122.0,Melanoma of the skin,2011,Females,Tasmania,129,50.3,16,6.2,Female,256984
123.0,Melanoma of the skin,2011,Females,Australian Capital Territory,48,27.0,5,2.8,Female,187088
124.0,Melanoma of the skin,2011,Females,Northern Territory,22,20.4,2,n.p.,Female,110816
125.0,Melanoma of the skin,2011,Females,,4837,43.1,453,4.0,Female,11315945
126.0,Melanoma of the skin,2011,Persons,New South Wales,4015,55.6,519,7.2,Person,7258722
127.0,Melanoma of the skin,2011,Persons,Victoria,2072,37.4,324,5.9,Person,5591818
128.0,Melanoma of the skin,2011,Persons,Queensland,3303,73.8,343,7.7,Person,4518649
129.0,Melanoma of the skin,2011,Persons,Western Australia,1114,47.3,181,7.7,Person,2385947
130.0,Melanoma of the skin,2011,Persons,South Australia,691,42.1,99,6.0,Person,1647183
131.0,Melanoma of the skin,2011,Persons,Tasmania,260,50.8,43,8.4,Person,511880
132.0,Melanoma of the skin,2011,Persons,Australian Capital Territory,124,34.9,17,4.9,Person,372070
133.0,Melanoma of the skin,2011,Persons,Northern Territory,55,24.4,5,2.1,Person,232952
134.0,Melanoma of the skin,2011,Persons,,11637,52.1,1529,6.8,Person,22522197
135.0,Melanoma of the skin,2012,Males,New South Wales,2490,68.7,368,10.1,Male,3650035
136.0,Melanoma of the skin,2012,Males,Victoria,1292,46.2,210,7.5,Male,2825349
137.0,Melanoma of the skin,2012,Males,Queensland,2014,88.4,231,10.1,Male,2299776
138.0,Melanoma of the skin,2012,Males,Western Australia,694,56.7,112,9.2,Male,1239615
139.0,Melanoma of the skin,2012,Males,South Australia,393,47.9,64,7.8,Male,823688
140.0,Melanoma of the skin,2012,Males,Tasmania,146,57.3,28,11.0,Male,254866
