,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
325,Melanoma of the skin,2019,Males,Vic,"1,632",50.4,189,5.8,Male,3262240
326,Melanoma of the skin,2019,Males,Qld,"2,601",103.2,212,8.4,Male,2540680
327,Melanoma of the skin,2019,Males,WA,945,71.0,104,7.8,Male,1345064
328,Melanoma of the skin,2019,Males,SA,545,62.4,79,9.0,Male,878768
329,Melanoma of the skin,2019,Males,Tas,224,82.6,26,9.6,Male,273893
330,Melanoma of the skin,2019,Males,ACT,120,58.3,14,6.9,Male,217500
331,Melanoma of the skin,2019,Males,NT,55,43.3,6,4.6,Male,126289
332,Melanoma of the skin,2019,Males,Australia,"9,135",72.6,942,7.5,Male,12665662
333,Melanoma of the skin,2019,Females,NSW,"2,077",51.3,157,3.9,Female,4068863
334,Melanoma of the skin,2019,Females,Vic,"1,202",36.4,85,2.6,Female,3327810
335,Melanoma of the skin,2019,Females,Qld,"1,845",71.9,99,3.9,Female,2589061
336,Melanoma of the skin,2019,Females,WA,676,50.9,45,3.4,Female,1343735
337,Melanoma of the skin,2019,Females,SA,357,39.9,33,3.7,Female,900160
338,Melanoma of the skin,2019,Females,Tas,188,68.0,14,5.1,Female,279447
339,Melanoma of the skin,2019,Females,ACT,86,40.8,8,3.7,Female,222767
340,Melanoma of the skin,2019,Females,NT,33,27.6,1,n.p.,Female,120727
341,Melanoma of the skin,2019,Females,Australia,"6,491",50.9,441,3.5,Female,12854806
342,Melanoma of the skin,2019,Persons,NSW,"5,089",63.2,464,5.8,Person,8088361
343,Melanoma of the skin,2019,Persons,Vic,"2,834",43.4,274,4.2,Person,6590050
344,Melanoma of the skin,2019,Persons,Qld,"4,446",87.4,311,6.1,Person,5129741
345,Melanoma of the skin,2019,Persons,WA,"1,621",60.9,149,5.6,Person,2688799
346,Melanoma of the skin,2019,Persons,SA,902,51.0,112,6.3,Person,1778928
347,Melanoma of the skin,2019,Persons,Tas,412,75.2,40,7.3,Person,553340
348,Melanoma of the skin,2019,Persons,ACT,205,49.5,22,5.3,Person,440267
349,Melanoma of the skin,2019,Persons,NT,88,35.7,7,2.9,Person,246677
350,Melanoma of the skin,2019,Persons,Australia,"15,626",61.7,"1,383",5.5,Person,25520468
351,Melanoma of the skin,2020,Males,NSW,"2,894",71.8,347,8.6,Male,4031001
352,Melanoma of the skin,2020,Males,Vic,"1,493",45.6,183,5.6,Male,3274653
353,Melanoma of the skin,2020,Males,Qld,"2,408",94.1,222,8.7,Male,2568499
354,Melanoma of the skin,2020,Males,WA,817,60.2,85,6.3,Male,1364994
355,Melanoma of the skin,2020,Males,SA,544,61.5,68,7.7,Male,886475
356,Melanoma of the skin,2020,Males,Tas,221,80.1,28,10.1,Male,278353
357,Melanoma of the skin,2020,Males,ACT,120,57.2,15,7.1,Male,220886
358,Melanoma of the skin,2020,Males,NT,55,43.4,5,3.6,Male,126133
359,Melanoma of the skin,2020,Males,Australia,"8,546",67.1,954,7.5,Male,12728639
360,Melanoma of the skin,2020,Females,NSW,"2,024",49.6,146,3.6,Female,4081000
361,Melanoma of the skin,2020,Females,Vic,"1,093",32.7,98,2.9,Female,3341983
362,Melanoma of the skin,2020,Females,Qld,"1,761",67.5,105,4.0,Female,2615830
363,Melanoma of the skin,2020,Females,WA,597,44.0,38,2.8,Female,1363193
364,Melanoma of the skin,2020,Females,SA,347,38.3,39,4.3,Female,908039
365,Melanoma of the skin,2020,Females,Tas,205,72.8,9,3.2,Female,283528
366,Melanoma of the skin,2020,Females,ACT,85,39.4,8,3.7,Female,226764
367,Melanoma of the skin,2020,Females,NT,33,27.7,2,n.p.,Female,121772
368,Melanoma of the skin,2020,Females,Australia,"6,135",47.5,445,3.4,Female,12920609
369,Melanoma of the skin,2020,Persons,NSW,"4,918",60.6,493,6.1,Person,8112001
370,Melanoma of the skin,2020,Persons,Vic,"2,586",39.1,281,4.2,Person,6616636
371,Melanoma of the skin,2020,Persons,Qld,"4,169",80.7,327,6.3,Person,5184329
372,Melanoma of the skin,2020,Persons,WA,"1,417",52.2,123,4.5,Person,2728187
373,Melanoma of the skin,2020,Persons,SA,891,49.8,107,6.0,Person,1794514
374,Melanoma of the skin,2020,Persons,Tas,428,76.8,37,6.6,Person,561881
375,Melanoma of the skin,2020,Persons,ACT,205,48.2,23,5.4,Person,447650
376,Melanoma of the skin,2020,Persons,NT,88,35.8,6,2.5,Person,247819
377,Melanoma of the skin,2020,Persons,Australia,"14,686",57.3,"1,399",5.5,Person,25649248
378,Non-melanoma skin cancer (rare types),2007,Males,NSW,178,5.3,35,1.0,Male,3413653
379,Non-melanoma skin cancer (rare types),2007,Males,Vic,53,2.1,6,0.2,Male,2574619
380,Non-melanoma skin cancer (rare types),2007,Males,Qld,109,5.3,23,1.1,Male,2076128
381,Non-melanoma skin cancer (rare types),2007,Males,WA,48,4.5,12,1.1,Male,1075987
382,Non-melanoma skin cancer (rare types),2007,Males,SA,14,1.8,4,n.p.,Male,779355
383,Non-melanoma skin cancer (rare types),2007,Males,Tas,12,4.9,1,n.p.,Male,245319
384,Non-melanoma skin cancer (rare types),2007,Males,ACT,5,2.9,1,n.p.,Male,170383
385,Non-melanoma skin cancer (rare types),2007,Males,NT,0,n.p.,0,n.p.,Male,112777
386,Non-melanoma skin cancer (rare types),2007,Males,Australia,416,4.0,82,0.8,Male,10449776
387,Non-melanoma skin cancer (rare types),2007,Females,NSW,119,3.5,22,0.6,Female,3470199
388,Non-melanoma skin cancer (rare types),2007,Females,Vic,36,1.4,5,0.2,Female,2624884
389,Non-melanoma skin cancer (rare types),2007,Females,Qld,49,2.4,8,0.4,Female,2083862
390,Non-melanoma skin cancer (rare types),2007,Females,WA,25,2.4,7,0.7,Female,1059019
391,Non-melanoma skin cancer (rare types),2007,Females,SA,7,0.9,5,0.6,Female,799134
392,Non-melanoma skin cancer (rare types),2007,Females,Tas,6,2.4,5,2.0,Female,250539
393,Non-melanoma skin cancer (rare types),2007,Females,ACT,2,n.p.,0,n.p.,Female,173793
394,Non-melanoma skin cancer (rare types),2007,Females,NT,0,0.0,0,0.0,Female,103841
395,Non-melanoma skin cancer (rare types),2007,Females,Australia,242,2.3,52,0.5,Female,10566345
396,Non-melanoma skin cancer (rare types),2007,Persons,NSW,297,4.3,57,0.8,Person,6883852
397,Non-melanoma skin cancer (rare types),2007,Persons,Vic,89,1.7,11,0.2,Person,5199503
398,Non-melanoma skin cancer (rare types),2007,Persons,Qld,158,3.8,31,0.8,Person,4159990
399,Non-melanoma skin cancer (rare types),2007,Persons,WA,73,3.5,19,0.9,Person,2135006
400,Non-melanoma skin cancer (rare types),2007,Persons,SA,21,1.3,9,0.6,Person,1578489
401,Non-melanoma skin cancer (rare types),2007,Persons,Tas,18,3.6,6,1.2,Person,495858
402,Non-melanoma skin cancer (rare types),2007,Persons,ACT,7,2.2,1,n.p.,Person,344176
403,Non-melanoma skin cancer (rare types),2007,Persons,NT,0,n.p.,0,n.p.,Person,216618
404,Non-melanoma skin cancer (rare types),2007,Persons,Australia,658,3.2,134,0.6,Person,21016121
405,Non-melanoma skin cancer (rare types),2008,Males,NSW,166,4.8,28,0.8,Male,3476199
406,Non-melanoma skin cancer (rare types),2008,Males,Vic,40,1.5,6,0.2,Male,2633317
407,Non-melanoma skin cancer (rare types),2008,Males,Qld,119,5.6,25,1.2,Male,2135996
408,Non-melanoma skin cancer (rare types),2008,Males,WA,52,4.7,5,0.5,Male,1113633
409,Non-melanoma skin cancer (rare types),2008,Males,SA,11,1.4,4,n.p.,Male,789696
410,Non-melanoma skin cancer (rare types),2008,Males,Tas,7,2.8,2,n.p.,Male,248714
411,Non-melanoma skin cancer (rare types),2008,Males,ACT,4,n.p.,2,n.p.,Male,174242
412,Non-melanoma skin cancer (rare types),2008,Males,NT,1,n.p.,0,n.p.,Male,116223
413,Non-melanoma skin cancer (rare types),2008,Males,Australia,402,3.8,75,0.7,Male,10689738
414,Non-melanoma skin cancer (rare types),2008,Females,NSW,127,3.6,24,0.7,Female,3525583
415,Non-melanoma skin cancer (rare types),2008,Females,Vic,30,1.1,6,0.2,Female,2679968
416,Non-melanoma skin cancer (rare types),2008,Females,Qld,38,1.8,11,0.5,Female,2139555
417,Non-melanoma skin cancer (rare types),2008,Females,WA,29,2.7,3,n.p.,Female,1095295
418,Non-melanoma skin cancer (rare types),2008,Females,SA,6,0.7,4,n.p.,Female,808184
419,Non-melanoma skin cancer (rare types),2008,Females,Tas,8,3.2,0,0.0,Female,253060
420,Non-melanoma skin cancer (rare types),2008,Females,ACT,2,n.p.,0,n.p.,Female,176859
421,Non-melanoma skin cancer (rare types),2008,Females,NT,0,n.p.,0,0.0,Female,106303
422,Non-melanoma skin cancer (rare types),2008,Females,Australia,241,2.3,48,0.4,Female,10785887
423,Non-melanoma skin cancer (rare types),2008,Persons,NSW,293,4.2,52,0.7,Person,7001782
424,Non-melanoma skin cancer (rare types),2008,Persons,Vic,70,1.3,12,0.2,Person,5313285
425,Non-melanoma skin cancer (rare types),2008,Persons,Qld,157,3.7,36,0.9,Person,4275551
426,Non-melanoma skin cancer (rare types),2008,Persons,WA,81,3.7,8,0.4,Person,2208928
427,Non-melanoma skin cancer (rare types),2008,Persons,SA,17,1.1,8,0.5,Person,1597880
428,Non-melanoma skin cancer (rare types),2008,Persons,Tas,15,3.0,2,n.p.,Person,501774
429,Non-melanoma skin cancer (rare types),2008,Persons,ACT,6,1.7,2,n.p.,Person,351101
430,Non-melanoma skin cancer (rare types),2008,Persons,NT,1,n.p.,0,n.p.,Person,222526
431,Non-melanoma skin cancer (rare types),2008,Persons,Australia,643,3.0,123,0.6,Person,21475625
432,Non-melanoma skin cancer (rare types),2009,Males,NSW,190,5.4,35,1.0,Male,3526643
433,Non-melanoma skin cancer (rare types),2009,Males,Vic,47,1.8,9,0.3,Male,2686022
434,Non-melanoma skin cancer (rare types),2009,Males,Qld,135,6.2,24,1.1,Male,2181500
435,Non-melanoma skin cancer (rare types),2009,Males,WA,46,4.1,6,0.5,Male,1140480
436,Non-melanoma skin cancer (rare types),2009,Males,SA,15,1.9,7,0.9,Male,800926
437,Non-melanoma skin cancer (rare types),2009,Males,Tas,9,3.6,3,n.p.,Male,251434
438,Non-melanoma skin cancer (rare types),2009,Males,ACT,3,n.p.,2,n.p.,Male,177822
439,Non-melanoma skin cancer (rare types),2009,Males,NT,1,n.p.,0,n.p.,Male,119297
440,Non-melanoma skin cancer (rare types),2009,Males,Australia,446,4.1,84,0.8,Male,10886022
441,Non-melanoma skin cancer (rare types),2009,Females,NSW,111,3.1,22,0.6,Female,3574861
442,Non-melanoma skin cancer (rare types),2009,Females,Vic,32,1.2,14,0.5,Female,2733227
443,Non-melanoma skin cancer (rare types),2009,Females,Qld,55,2.5,5,0.2,Female,2185954
444,Non-melanoma skin cancer (rare types),2009,Females,WA,31,2.8,5,0.5,Female,1123267
445,Non-melanoma skin cancer (rare types),2009,Females,SA,10,1.2,5,0.6,Female,817652
446,Non-melanoma skin cancer (rare types),2009,Females,Tas,5,2.0,0,0.0,Female,255027
447,Non-melanoma skin cancer (rare types),2009,Females,ACT,2,n.p.,1,n.p.,Female,180037
448,Non-melanoma skin cancer (rare types),2009,Females,NT,0,n.p.,0,0.0,Female,108486
449,Non-melanoma skin cancer (rare types),2009,Females,Australia,247,2.3,52,0.5,Female,10979601
450,Non-melanoma skin cancer (rare types),2009,Persons,NSW,301,4.3,57,0.8,Person,7101504
451,Non-melanoma skin cancer (rare types),2009,Persons,Vic,79,1.5,23,0.4,Person,5419249
452,Non-melanoma skin cancer (rare types),2009,Persons,Qld,190,4.4,29,0.7,Person,4367454
453,Non-melanoma skin cancer (rare types),2009,Persons,WA,77,3.4,11,0.5,Person,2263747
454,Non-melanoma skin cancer (rare types),2009,Persons,SA,25,1.6,12,0.7,Person,1618578
455,Non-melanoma skin cancer (rare types),2009,Persons,Tas,14,2.8,3,n.p.,Person,506461
456,Non-melanoma skin cancer (rare types),2009,Persons,ACT,5,1.6,2,n.p.,Person,357859
457,Non-melanoma skin cancer (rare types),2009,Persons,NT,1,n.p.,0,n.p.,Person,227783
458,Non-melanoma skin cancer (rare types),2009,Persons,Australia,693,3.2,136,0.6,Person,21865623
459,Non-melanoma skin cancer (rare types),2010,Males,NSW,174,4.9,34,1.0,Male,3565558
460,Non-melanoma skin cancer (rare types),2010,Males,Vic,49,1.8,14,0.5,Male,2720959
461,Non-melanoma skin cancer (rare types),2010,Males,Qld,118,5.4,25,1.1,Male,2214429
462,Non-melanoma skin cancer (rare types),2010,Males,WA,51,4.4,9,0.8,Male,1167862
463,Non-melanoma skin cancer (rare types),2010,Males,SA,22,2.7,4,n.p.,Male,808037
464,Non-melanoma skin cancer (rare types),2010,Males,Tas,12,4.7,1,n.p.,Male,253833
465,Non-melanoma skin cancer (rare types),2010,Males,ACT,4,n.p.,2,n.p.,Male,181314
466,Non-melanoma skin cancer (rare types),2010,Males,NT,1,n.p.,0,n.p.,Male,120979
467,Non-melanoma skin cancer (rare types),2010,Males,Australia,434,4.0,88,0.8,Male,11034979
468,Non-melanoma skin cancer (rare types),2010,Females,NSW,120,3.3,18,0.5,Female,3614333
469,Non-melanoma skin cancer (rare types),2010,Females,Vic,33,1.2,7,0.3,Female,2774752
470,Non-melanoma skin cancer (rare types),2010,Females,Qld,64,2.9,15,0.7,Female,2222453
471,Non-melanoma skin cancer (rare types),2010,Females,WA,29,2.6,1,n.p.,Female,1151201
472,Non-melanoma skin cancer (rare types),2010,Females,SA,7,0.9,2,n.p.,Female,824445
473,Non-melanoma skin cancer (rare types),2010,Females,Tas,10,3.9,2,n.p.,Female,256386
474,Non-melanoma skin cancer (rare types),2010,Females,ACT,2,n.p.,1,n.p.,Female,183519
475,Non-melanoma skin cancer (rare types),2010,Females,NT,0,n.p.,0,n.p.,Female,109534
476,Non-melanoma skin cancer (rare types),2010,Females,Australia,265,2.4,48,0.4,Female,11137490
477,Non-melanoma skin cancer (rare types),2010,Persons,NSW,294,4.1,52,0.7,Person,7179891
478,Non-melanoma skin cancer (rare types),2010,Persons,Vic,82,1.5,21,0.4,Person,5495711
479,Non-melanoma skin cancer (rare types),2010,Persons,Qld,182,4.1,40,0.9,Person,4436882
480,Non-melanoma skin cancer (rare types),2010,Persons,WA,80,3.5,10,0.4,Person,2319063
481,Non-melanoma skin cancer (rare types),2010,Persons,SA,29,1.8,6,0.4,Person,1632482
482,Non-melanoma skin cancer (rare types),2010,Persons,Tas,22,4.3,3,n.p.,Person,510219
483,Non-melanoma skin cancer (rare types),2010,Persons,ACT,6,1.7,2,n.p.,Person,364833
484,Non-melanoma skin cancer (rare types),2010,Persons,NT,1,n.p.,0,n.p.,Person,230460
485,Non-melanoma skin cancer (rare types),2010,Persons,Australia,699,3.2,136,0.6,Person,22172469
486,Non-melanoma skin cancer (rare types),2011,Males,NSW,188,5.2,37,1.0,Male,3604198
487,Non-melanoma skin cancer (rare types),2011,Males,Vic,38,1.4,16,0.6,Male,2766513
488,Non-melanoma skin cancer (rare types),2011,Males,Qld,122,5.5,22,1.0,Male,2253923
489,Non-melanoma skin cancer (rare types),2011,Males,WA,58,4.9,4,n.p.,Male,1202068
490,Non-melanoma skin cancer (rare types),2011,Males,SA,30,3.7,5,0.6,Male,815608
491,Non-melanoma skin cancer (rare types),2011,Males,Tas,10,3.9,3,n.p.,Male,254896
492,Non-melanoma skin cancer (rare types),2011,Males,ACT,4,n.p.,1,n.p.,Male,184982
493,Non-melanoma skin cancer (rare types),2011,Males,NT,1,n.p.,0,n.p.,Male,122136
494,Non-melanoma skin cancer (rare types),2011,Males,Australia,452,4.1,89,0.8,Male,11206252
495,Non-melanoma skin cancer (rare types),2011,Females,NSW,106,2.9,22,0.6,Female,3654524
496,Non-melanoma skin cancer (rare types),2011,Females,Vic,23,0.8,14,0.5,Female,2825305
497,Non-melanoma skin cancer (rare types),2011,Females,Qld,60,2.7,12,0.5,Female,2264726
498,Non-melanoma skin cancer (rare types),2011,Females,WA,39,3.3,2,n.p.,Female,1183879
499,Non-melanoma skin cancer (rare types),2011,Females,SA,6,0.7,2,n.p.,Female,831575
500,Non-melanoma skin cancer (rare types),2011,Females,Tas,2,n.p.,0,0.0,Female,256984
501,Non-melanoma skin cancer (rare types),2011,Females,ACT,2,n.p.,1,n.p.,Female,187088
502,Non-melanoma skin cancer (rare types),2011,Females,NT,0,n.p.,0,n.p.,Female,110816
503,Non-melanoma skin cancer (rare types),2011,Females,Australia,238,2.1,52,0.5,Female,11315945
504,Non-melanoma skin cancer (rare types),2011,Persons,NSW,294,4.1,59,0.8,Person,7258722
505,Non-melanoma skin cancer (rare types),2011,Persons,Vic,61,1.1,30,0.5,Person,5591818
506,Non-melanoma skin cancer (rare types),2011,Persons,Qld,182,4.1,34,0.8,Person,4518649
507,Non-melanoma skin cancer (rare types),2011,Persons,WA,97,4.1,6,0.3,Person,2385947
508,Non-melanoma skin cancer (rare types),2011,Persons,SA,36,2.2,7,0.4,Person,1647183
509,Non-melanoma skin cancer (rare types),2011,Persons,Tas,12,2.3,3,n.p.,Person,511880
510,Non-melanoma skin cancer (rare types),2011,Persons,ACT,6,1.6,2,n.p.,Person,372070
511,Non-melanoma skin cancer (rare types),2011,Persons,NT,2,n.p.,1,n.p.,Person,232952
512,Non-melanoma skin cancer (rare types),2011,Persons,Australia,690,3.1,141,0.6,Person,22522197
513,Non-melanoma skin cancer (rare types),2012,Males,NSW,200,5.5,41,1.1,Male,3650035
514,Non-melanoma skin cancer (rare types),2012,Males,Vic,36,1.3,10,0.4,Male,2825349
515,Non-melanoma skin cancer (rare types),2012,Males,Qld,131,5.7,26,1.1,Male,2299776
516,Non-melanoma skin cancer (rare types),2012,Males,WA,71,5.8,19,1.6,Male,1239615
517,Non-melanoma skin cancer (rare types),2012,Males,SA,24,2.9,5,0.6,Male,823688
518,Non-melanoma skin cancer (rare types),2012,Males,Tas,11,4.3,1,n.p.,Male,254866
519,Non-melanoma skin cancer (rare types),2012,Males,ACT,5,2.6,1,n.p.,Male,188673
520,Non-melanoma skin cancer (rare types),2012,Males,NT,1,n.p.,0,n.p.,Male,125043
521,Non-melanoma skin cancer (rare types),2012,Males,Australia,478,4.2,103,0.9,Male,11408788
522,Non-melanoma skin cancer (rare types),2012,Females,NSW,116,3.2,28,0.8,Female,3703154
523,Non-melanoma skin cancer (rare types),2012,Females,Vic,28,1.0,7,0.2,Female,2884237
524,Non-melanoma skin cancer (rare types),2012,Females,Qld,71,3.1,11,0.5,Female,2311528
525,Non-melanoma skin cancer (rare types),2012,Females,WA,47,3.9,3,n.p.,Female,1217874
526,Non-melanoma skin cancer (rare types),2012,Females,SA,13,1.6,1,n.p.,Female,839394
527,Non-melanoma skin cancer (rare types),2012,Females,Tas,8,3.1,1,n.p.,Female,257127
528,Non-melanoma skin cancer (rare types),2012,Females,ACT,2,n.p.,1,n.p.,Female,191139
529,Non-melanoma skin cancer (rare types),2012,Females,NT,1,n.p.,0,n.p.,Female,113685
530,Non-melanoma skin cancer (rare types),2012,Females,Australia,286,2.5,51,0.4,Female,11519235
531,Non-melanoma skin cancer (rare types),2012,Persons,NSW,316,4.3,69,0.9,Person,7353189
532,Non-melanoma skin cancer (rare types),2012,Persons,Vic,64,1.1,17,0.3,Person,5709586
533,Non-melanoma skin cancer (rare types),2012,Persons,Qld,202,4.4,37,0.8,Person,4611304
534,Non-melanoma skin cancer (rare types),2012,Persons,WA,118,4.9,22,0.9,Person,2457489
535,Non-melanoma skin cancer (rare types),2012,Persons,SA,37,2.2,6,0.4,Person,1663082
536,Non-melanoma skin cancer (rare types),2012,Persons,Tas,19,3.7,2,n.p.,Person,511993
537,Non-melanoma skin cancer (rare types),2012,Persons,ACT,7,1.8,2,n.p.,Person,379812
538,Non-melanoma skin cancer (rare types),2012,Persons,NT,2,n.p.,1,n.p.,Person,238728
539,Non-melanoma skin cancer (rare types),2012,Persons,Australia,764,3.4,154,0.7,Person,22928023
540,Non-melanoma skin cancer (rare types),2013,Males,NSW,240,6.5,44,1.2,Male,3698220
541,Non-melanoma skin cancer (rare types),2013,Males,Vic,57,2.0,19,0.7,Male,2884387
542,Non-melanoma skin cancer (rare types),2013,Males,Qld,148,6.4,38,1.6,Male,2333762
543,Non-melanoma skin cancer (rare types),2013,Males,WA,87,6.9,11,0.9,Male,1259941
544,Non-melanoma skin cancer (rare types),2013,Males,SA,23,2.8,6,0.7,Male,830900
545,Non-melanoma skin cancer (rare types),2013,Males,Tas,12,4.7,1,n.p.,Male,254878
546,Non-melanoma skin cancer (rare types),2013,Males,ACT,5,2.7,1,n.p.,Male,191691
547,Non-melanoma skin cancer (rare types),2013,Males,NT,1,n.p.,1,n.p.,Male,126921
548,Non-melanoma skin cancer (rare types),2013,Males,Australia,575,5.0,121,1.1,Male,11582448
549,Non-melanoma skin cancer (rare types),2013,Females,NSW,116,3.1,25,0.7,Female,3756718
550,Non-melanoma skin cancer (rare types),2013,Females,Vic,29,1.0,6,0.2,Female,2948198
551,Non-melanoma skin cancer (rare types),2013,Females,Qld,72,3.1,20,0.9,Female,2351677
552,Non-melanoma skin cancer (rare types),2013,Females,WA,44,3.6,10,0.8,Female,1242247
553,Non-melanoma skin cancer (rare types),2013,Females,SA,9,1.1,3,n.p.,Female,847152
554,Non-melanoma skin cancer (rare types),2013,Females,Tas,5,1.9,3,n.p.,Female,258137
555,Non-melanoma skin cancer (rare types),2013,Females,ACT,2,n.p.,1,n.p.,Female,194627
556,Non-melanoma skin cancer (rare types),2013,Females,NT,0,n.p.,0,n.p.,Female,115450
557,Non-melanoma skin cancer (rare types),2013,Females,Australia,275,2.4,69,0.6,Female,11715329
558,Non-melanoma skin cancer (rare types),2013,Persons,NSW,356,4.8,69,0.9,Person,7454938
559,Non-melanoma skin cancer (rare types),2013,Persons,Vic,86,1.5,25,0.4,Person,5832585
560,Non-melanoma skin cancer (rare types),2013,Persons,Qld,220,4.7,58,1.2,Person,4685439
561,Non-melanoma skin cancer (rare types),2013,Persons,WA,131,5.3,21,0.8,Person,2502188
562,Non-melanoma skin cancer (rare types),2013,Persons,SA,32,1.9,9,0.5,Person,1678052
563,Non-melanoma skin cancer (rare types),2013,Persons,Tas,17,3.3,4,n.p.,Person,513015
564,Non-melanoma skin cancer (rare types),2013,Persons,ACT,7,1.8,2,n.p.,Person,386318
565,Non-melanoma skin cancer (rare types),2013,Persons,NT,2,n.p.,1,n.p.,Person,242304
566,Non-melanoma skin cancer (rare types),2013,Persons,Australia,850,3.7,190,0.8,Person,23297777
567,Non-melanoma skin cancer (rare types),2014,Males,NSW,224,6.0,42,1.1,Male,3750061
568,Non-melanoma skin cancer (rare types),2014,Males,Vic,83,2.8,22,0.8,Male,2945763
569,Non-melanoma skin cancer (rare types),2014,Males,Qld,131,5.6,40,1.7,Male,2361282
570,Non-melanoma skin cancer (rare types),2014,Males,WA,77,6.1,14,1.1,Male,1271552
571,Non-melanoma skin cancer (rare types),2014,Males,SA,27,3.2,7,0.8,Male,838094
572,Non-melanoma skin cancer (rare types),2014,Males,Tas,11,4.3,2,n.p.,Male,255134
573,Non-melanoma skin cancer (rare types),2014,Males,ACT,5,2.9,1,n.p.,Male,194291
574,Non-melanoma skin cancer (rare types),2014,Males,NT,2,n.p.,1,n.p.,Male,127079
575,Non-melanoma skin cancer (rare types),2014,Males,Australia,561,4.8,129,1.1,Male,11744498
576,Non-melanoma skin cancer (rare types),2014,Females,NSW,118,3.1,26,0.7,Female,3812110
577,Non-melanoma skin cancer (rare types),2014,Females,Vic,38,1.3,5,0.2,Female,3011749
578,Non-melanoma skin cancer (rare types),2014,Females,Qld,74,3.1,13,0.5,Female,2385981
579,Non-melanoma skin cancer (rare types),2014,Females,WA,43,3.4,6,0.5,Female,1257067
580,Non-melanoma skin cancer (rare types),2014,Females,SA,16,1.9,1,n.p.,Female,855013
581,Non-melanoma skin cancer (rare types),2014,Females,Tas,5,1.9,1,n.p.,Female,259067
582,Non-melanoma skin cancer (rare types),2014,Females,ACT,1,n.p.,1,n.p.,Female,197690
583,Non-melanoma skin cancer (rare types),2014,Females,NT,0,n.p.,0,n.p.,Female,116165
584,Non-melanoma skin cancer (rare types),2014,Females,Australia,295,2.5,53,0.4,Female,11895833
585,Non-melanoma skin cancer (rare types),2014,Persons,NSW,342,4.6,68,0.9,Person,7562171
586,Non-melanoma skin cancer (rare types),2014,Persons,Vic,121,2.1,27,0.5,Person,5957512
587,Non-melanoma skin cancer (rare types),2014,Persons,Qld,205,4.3,53,1.1,Person,4747263
588,Non-melanoma skin cancer (rare types),2014,Persons,WA,120,4.8,20,0.8,Person,2528619
589,Non-melanoma skin cancer (rare types),2014,Persons,SA,43,2.5,8,0.5,Person,1693107
590,Non-melanoma skin cancer (rare types),2014,Persons,Tas,16,3.1,3,n.p.,Person,514040
591,Non-melanoma skin cancer (rare types),2014,Persons,ACT,7,1.8,2,n.p.,Person,391981
592,Non-melanoma skin cancer (rare types),2014,Persons,NT,2,n.p.,1,n.p.,Person,243201
593,Non-melanoma skin cancer (rare types),2014,Persons,Australia,856,3.6,182,0.8,Person,23640331
594,Non-melanoma skin cancer (rare types),2015,Males,NSW,251,6.6,38,1.0,Male,3803289
595,Non-melanoma skin cancer (rare types),2015,Males,Vic,79,2.7,26,0.9,Male,3011376
596,Non-melanoma skin cancer (rare types),2015,Males,Qld,138,5.8,25,1.1,Male,2385347
597,Non-melanoma skin cancer (rare types),2015,Males,WA,81,6.3,10,0.8,Male,1278792
598,Non-melanoma skin cancer (rare types),2015,Males,SA,30,3.6,6,0.7,Male,843702
599,Non-melanoma skin cancer (rare types),2015,Males,Tas,10,3.9,3,n.p.,Male,255551
600,Non-melanoma skin cancer (rare types),2015,Males,ACT,5,2.8,1,n.p.,Male,197696
601,Non-melanoma skin cancer (rare types),2015,Males,NT,2,n.p.,1,n.p.,Male,127914
602,Non-melanoma skin cancer (rare types),2015,Males,Australia,598,5.1,109,0.9,Male,11904308
603,Non-melanoma skin cancer (rare types),2015,Females,NSW,136,3.5,22,0.6,Female,3868112
604,Non-melanoma skin cancer (rare types),2015,Females,Vic,39,1.3,14,0.5,Female,3081673
605,Non-melanoma skin cancer (rare types),2015,Females,Qld,82,3.4,6,0.2,Female,2419586
606,Non-melanoma skin cancer (rare types),2015,Females,WA,44,3.5,6,0.5,Female,1268953
607,Non-melanoma skin cancer (rare types),2015,Females,SA,15,1.7,2,n.p.,Female,862235
608,Non-melanoma skin cancer (rare types),2015,Females,Tas,14,5.4,1,n.p.,Female,260242
609,Non-melanoma skin cancer (rare types),2015,Females,ACT,1,n.p.,0,n.p.,Female,201178
610,Non-melanoma skin cancer (rare types),2015,Females,NT,0,n.p.,0,n.p.,Female,117123
611,Non-melanoma skin cancer (rare types),2015,Females,Australia,332,2.8,52,0.4,Female,12080273
612,Non-melanoma skin cancer (rare types),2015,Persons,NSW,387,5.1,60,0.8,Person,7671401
613,Non-melanoma skin cancer (rare types),2015,Persons,Vic,118,2.0,40,0.7,Person,6093049
614,Non-melanoma skin cancer (rare types),2015,Persons,Qld,220,4.6,31,0.6,Person,4804933
615,Non-melanoma skin cancer (rare types),2015,Persons,WA,125,4.9,16,0.6,Person,2547745
616,Non-melanoma skin cancer (rare types),2015,Persons,SA,45,2.6,8,0.5,Person,1705937
617,Non-melanoma skin cancer (rare types),2015,Persons,Tas,24,4.7,4,n.p.,Person,515697
618,Non-melanoma skin cancer (rare types),2015,Persons,ACT,7,1.7,1,n.p.,Person,398874
619,Non-melanoma skin cancer (rare types),2015,Persons,NT,2,n.p.,1,n.p.,Person,244692
620,Non-melanoma skin cancer (rare types),2015,Persons,Australia,930,3.9,161,0.7,Person,23984581
