Cancer,RD_stage,Sex,Age,Count,Rate_100k
Melanoma of the skin,I,Females,70–74,370,99.9
Melanoma of the skin,I,Females,75–79,245,81.7
Melanoma of the skin,I,Females,80–84,250,98.6
Melanoma of the skin,I,Females,85+,189,71.4
Melanoma of the skin,I,Females,Total,"3,795", 
Melanoma of the skin,II,Females,00–04,,
Melanoma of the skin,II,Females,05–09,1,0.1
Melanoma of the skin,II,Females,10–14,1,0.1
Melanoma of the skin,II,Females,15–19,,
Melanoma of the skin,II,Females,20–24,2,0.3
Melanoma of the skin,II,Females,25–29,4,0.5
Melanoma of the skin,II,Females,30–34,6,0.8
Melanoma of the skin,II,Females,35–39,11,1.4
Melanoma of the skin,II,Females,40–44,13,1.6
Melanoma of the skin,II,Females,45–49,20,2.6
Melanoma of the skin,II,Females,50–54,28,3.7
Melanoma of the skin,II,Females,55–59,40,5.9
Melanoma of the skin,II,Females,60–64,49,8.0
Melanoma of the skin,II,Females,65–69,58,12.1
Melanoma of the skin,II,Females,70–74,58,15.7
Melanoma of the skin,II,Females,75–79,64,21.3
Melanoma of the skin,II,Females,80–84,83,32.7
Melanoma of the skin,II,Females,85+,138,52.2
Melanoma of the skin,II,Females,Total,576, 
Melanoma of the skin,III,Females,00–04,,
Melanoma of the skin,III,Females,05–09,,
Melanoma of the skin,III,Females,10–14,,
Melanoma of the skin,III,Females,15–19,,
Melanoma of the skin,III,Females,20–24,3,0.4
Melanoma of the skin,III,Females,25–29,1,0.1
Melanoma of the skin,III,Females,30–34,4,0.5
Melanoma of the skin,III,Females,35–39,8,1.0
Melanoma of the skin,III,Females,40–44,7,0.9
Melanoma of the skin,III,Females,45–49,7,0.9
Melanoma of the skin,III,Females,50–54,13,1.7
Melanoma of the skin,III,Females,55–59,10,1.5
Melanoma of the skin,III,Females,60–64,15,2.4
Melanoma of the skin,III,Females,65–69,9,1.9
Melanoma of the skin,III,Females,70–74,15,4.0
Melanoma of the skin,III,Females,75–79,12,4.0
Melanoma of the skin,III,Females,80–84,12,4.7
Melanoma of the skin,III,Females,85+,10,3.8
Melanoma of the skin,III,Females,Total,126, 
Melanoma of the skin,IV,Females,00–04,,
Melanoma of the skin,IV,Females,05–09,,
Melanoma of the skin,IV,Females,10–14,,
Melanoma of the skin,IV,Females,15–19,,
Melanoma of the skin,IV,Females,20–24,3,0.4
Melanoma of the skin,IV,Females,25–29,,
Melanoma of the skin,IV,Females,30–34,1,0.1
Melanoma of the skin,IV,Females,35–39,5,0.6
Melanoma of the skin,IV,Females,40–44,5,0.6
Melanoma of the skin,IV,Females,45–49,6,0.8
Melanoma of the skin,IV,Females,50–54,8,1.1
Melanoma of the skin,IV,Females,55–59,5,0.7
Melanoma of the skin,IV,Females,60–64,11,1.8
Melanoma of the skin,IV,Females,65–69,8,1.7
Melanoma of the skin,IV,Females,70–74,3,0.8
Melanoma of the skin,IV,Females,75–79,4,1.3
Melanoma of the skin,IV,Females,80–84,4,1.6
Melanoma of the skin,IV,Females,85+,12,4.5
Melanoma of the skin,IV,Females,Total,75, 
Melanoma of the skin,Stage unknown,Females,00–04,,
Melanoma of the skin,Stage unknown,Females,05–09,1,0.1
Melanoma of the skin,Stage unknown,Females,10–14,,
Melanoma of the skin,Stage unknown,Females,15–19,,
Melanoma of the skin,Stage unknown,Females,20–24,2,0.3
Melanoma of the skin,Stage unknown,Females,25–29,5,0.6
Melanoma of the skin,Stage unknown,Females,30–34,2,0.3
Melanoma of the skin,Stage unknown,Females,35–39,10,1.3
Melanoma of the skin,Stage unknown,Females,40–44,6,0.7
Melanoma of the skin,Stage unknown,Females,45–49,11,1.4
Melanoma of the skin,Stage unknown,Females,50–54,14,1.9
Melanoma of the skin,Stage unknown,Females,55–59,14,2.1
Melanoma of the skin,Stage unknown,Females,60–64,14,2.3
Melanoma of the skin,Stage unknown,Females,65–69,22,4.6
Melanoma of the skin,Stage unknown,Females,70–74,10,2.7
Melanoma of the skin,Stage unknown,Females,75–79,8,2.7
Melanoma of the skin,Stage unknown,Females,80–84,10,3.9
