Year,Sex,Incident,Mortality,Population,State
2012,Persons,255,49,511993,Tasmania
2012,Persons,132,18,379812,Australian Capital Territory
2012,Persons,60,6,238728,Northern Territory
2012,Persons,12233,1529,22928023,
2013,Males,2540,398,3698220,New South Wales
2013,Males,1330,249,2884387,Victoria
2013,Males,2163,313,2333762,Queensland
2013,Males,780,109,1259941,Western Australia
2013,Males,437,70,830900,South Australia
2013,Males,139,21,254878,Tasmania
2013,Males,81,12,191691,Australian Capital Territory
2013,Males,39,5,126921,Northern Territory
2013,Males,7523,1177,11582448,
2013,Females,1767,155,3756718,New South Wales
2013,Females,1002,118,2948198,Victoria
2013,Females,1530,110,2351677,Queensland
2013,Females,532,51,1242247,Western Australia
2013,Females,284,36,847152,South Australia
2013,Females,136,12,258137,Tasmania
2013,Females,54,5,194627,Australian Capital Territory
2013,Females,24,2,115450,Northern Territory
2013,Females,5339,489,11715329,
2013,Persons,4307,553,7454938,New South Wales
2013,Persons,2332,367,5832585,Victoria
2013,Persons,3693,423,4685439,Queensland
2013,Persons,1312,160,2502188,Western Australia
2013,Persons,721,106,1678052,South Australia
2013,Persons,275,33,513015,Tasmania
2013,Persons,135,17,386318,Australian Capital Territory
2013,Persons,63,7,242304,Northern Territory
2013,Persons,12862,1666,23297777,
2014,Males,2558,336,3750061,New South Wales
2014,Males,1402,190,2945763,Victoria
2014,Males,2199,250,2361282,Queensland
2014,Males,770,103,1271552,Western Australia
2014,Males,478,90,838094,South Australia
2014,Males,163,23,255134,Tasmania
2014,Males,81,11,194291,Australian Capital Territory
2014,Males,43,6,127079,Northern Territory
2014,Males,7705,1004,11744498,
2014,Females,1797,165,3812110,New South Wales
2014,Females,1064,88,3011749,Victoria
2014,Females,1507,102,2385981,Queensland
2014,Females,530,49,1257067,Western Australia
2014,Females,310,33,855013,South Australia
2014,Females,169,14,259067,Tasmania
2014,Females,63,5,197690,Australian Capital Territory
2014,Females,25,2,116165,Northern Territory
2014,Females,5483,461,11895833,
2014,Persons,4355,501,7562171,New South Wales
2014,Persons,2466,278,5957512,Victoria
2014,Persons,3706,352,4747263,Queensland
2014,Persons,1300,152,2528619,Western Australia
2014,Persons,788,123,1693107,South Australia
2014,Persons,332,37,514040,Tasmania
2014,Persons,144,16,391981,Australian Capital Territory
2014,Persons,68,8,243201,Northern Territory
2014,Persons,13188,1465,23640331,
2015,Males,2581,386,3803289,New South Wales
