Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Singapore,0.085,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.473,0.473,0.495,0.479,0.47765875,0.4737648,0.4936092,0.5211795,0.5286781,0.5902442,0.61007973,0.64390646,0.7182691,0.7685835,0.8610191,0.89001521,0.89765413,0.89765614,0.95489589,0.9799372,1.06950528,1.63654584,1.7687109
Slovakia,1.88,1.408,1.937,3.467,4.355,4.88,4.227,4.064,4.267,4.474,4.615,5.081,5.42,3.581,4.126,4.676,4.803314,4.933,4.563332,4.910561,5.939942,4.999187,5.474,6.353,6.229,6.04,6.629,6.532,5.806,6.644,6.857,6.778,5.822,7.2493983
Slovenia,2.974,3.608,3.423,3.035,3.399,3.252,3.668,3.091,3.45,3.77,3.904,3.868,3.415,3.079,4.216,3.571,3.69,3.37,4.31,4.912,4.752,3.88,4.329,5.109,6.612,4.355,5.05901644,4.451817,5.238019,5.044796,5.585884,5.451717,4.072136,6.37269823
South Africa,1.01,1.98,0.75200003,0.14600004,1.0739999,0.529,1.3789999,2.238,1.826,0.9229999,1.5877998,2.1549,2.5567,1.25571207,1.359339,1.7862402,3.3337197,3.32822,1.7584198,1.9540199,1.6007998,3.5931242,1.5641099,1.8616158,4.3002319,6.866528,8.438492,12.423364,12.517334,12.70614,13.9857,17.8647,19.4097,20.07461
South America,353.380564,378.154596,387.474509,417.008911,443.16035,459.504718,476.971978,504.925471,515.738774,515.572699,543.834216,513.098233,539.250433,563.77147,582.32303,617.11574,645.61772,673.169556,680.477012,702.317667,713.342878,757.540501,750.924289,737.345609,731.510637,731.331078,763.491325,796.085855,828.805333,840.906881,844.551737,840.876142,945.36722,999.01572
South Korea,4.684946,3.487046,3.099448,4.230549,2.349092,3.011923,2.830357,2.895992,4.343418,4.256671,4.110522,2.436713,3.4337028,5.1061937,4.6612622,4.07740033,3.97876078,4.46247355,4.4435366,4.6037796,5.69009954,7.40265599,8.16516633,10.2260815,12.8926928,15.1975707,18.1252341,22.3280839,27.8064292,33.0113766,40.3989504,48.1047282,55.4848087,55.7213943
South and Central America (EI),369.134722,393.501791,402.897962,433.553178,458.576865,474.818725,494.68078,522.018817,533.111972,536.774512,565.133074,532.770903,560.299612,585.889749,605.806095,642.009865,671.640976,699.439084,708.837668,730.258108,744.211391,788.704143,785.378341,772.686528,767.031557,769.505335,803.991528,842.000528,876.599462,885.278638,894.340916,895.5086,1001.13083,1049.65473
Spain,25.976,27.846,19.606,25.081,29.004,24.408,41.261,36.996,36.903,27.348,35.808,49.441,34.878,56.354,50.762,41.742,52.08,58.207,62.311,73.7151218,96.599131,86.223536,86.9599183,110.948338,110.269084,97.0875973,104.605952,87.847671,104.149547,96.320498,113.754783,125.676004,122.848516,141.957314
Sri Lanka,3.1448,3.1166,2.8999,3.796,4.0891,4.5141,3.2519,3.44727,3.91495,4.1809936,3.2080397,3.1222467,2.70551866,3.32455134,2.97558762,3.46883288,4.65284953,3.96585521,4.15452988,3.92441035,5.73742632,4.71585259,3.48115217,7.20459647,4.90457908,6.42913,4.73134,4.68978,7.14618,5.778,6.2455,9.1205,9.1896964,8.5151422
Sweden,74.458,65.122,76.405,76.871,61.402,70.556,54.003,72.033,77.832,74.747,83.14,83.322,71.143,58.731,68.641,80.834541,70.965027,77.440317,81.621284,79.497261,82.862435,84.723178,98.317487,82.68838,85.740063,102.497224,89.243268,94.977395,91.068296,98.842794,112.024227,115.491473,117.935967,114.80196
Switzerland,30.236848,32.518162,33.191655,36.276193,39.627556,35.751566,29.36998,34.713455,34.175414,40.770263,37.684334,42.21588,36.100818,35.72013,34.745717,32.274898,32.135859,36.477403,37.324383,37.03311,37.46728,34.016364,40.51809,40.661718,40.65405,41.09185,37.79493,37.749364,38.48719,41.81997,42.175486,41.549485,35.58413,45.1779584
Taiwan,6.59280675,4.09687026,6.81761623,4.34154766,5.31848462,5.2232869,5.21293295,5.7710712,6.8090582,5.8098888,5.60885146,6.42306177,4.3944638,4.83136542,5.08460861,6.01402843,6.21551174,6.74317192,6.71469564,6.2914554,7.0759807,7.38858874,9.07322683,9.23239064,8.259637,8.78394865,11.0318442,10.6949247,10.8633697,13.4409429,13.3942,15.7227621,22.0741604,25.0189424
Thailand,4.925119,4.535017,4.179801,3.64193,4.45436554,6.73576006,7.4221228,7.35550026,5.3983331,3.8571013,6.4183415,6.79543285,8.1193422,8.4392484,7.7382119,7.527449,9.9745169,10.4181438,9.1284352,9.262028,8.7729685,12.0115863,13.642407,12.6459946,14.209078,13.8022185,16.08028,19.631204,25.519757,27.712383,25.079966,26.466626,28.474911,29.7669129
Trinidad and Tobago,0.031,0.025,0.03,0.028,0.032,0.033,0.017,0.018,0.018,0.018,0.020531,0.030039,0.027369,0.013902,0.025579,0.024743,0.02909,0.022285,0.023534,0.022939,0.004408,0.004408,0.006228,0.006228,0.006228,0.006255,0.006255,0.006255,0.006255,0.006255,0.006255,0.006255,0.006255,0.006255
Turkey,23.2277,22.803,26.6847,34.0849,30.7159,35.8492,40.7343,40.1929,42.5605,34.9119,31.1534,24.3459,33.9664,35.5585,46.3106,39.7479,44.52255,36.456842,34.420995,38.141159,55.715434,58.1024625,65.2212898,69.2269026,52.628714,83.657973,90.24433,87.2631,97.768015,132.277775,128.360383,118.567465,137.842531,137.932973
Turkmenistan,0.003,0.003,0.0042,0.005,0.004,0.004,0.005,0.005,0.006,0.005,0.003154,0.003154,0.003154,0.003154,0.003154,0.003154,0.003154,0.003154,0.003154,0.003154,0.0033135,0.00361075,0.00413543,0.00500275,0.0062715,0.008374,0.01013307,0.010114,0.010114,0.010114,0.01014171,0.01011,0.01011,0.01011
Ukraine,10.514,11.71,7.883,11.039,12.118,9.953,8.632,9.856,15.742,14.327,11.28,12.048,9.649,9.269,11.786,12.401,12.921,10.469,11.821,12.118,13.39,11.19743,11.23413,15.11441,10.16747,7.10222,9.2564,10.86261,13.0241,11.8682,16.952703,21.600899,18.623467,20.40677
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006354,0.018424,0.020696,0.024242,0.086912,0.311409,0.300589,0.316,0.7451,1.1981,3.6558,5.185366,6.2527808,7.7561991,13.8355477
United Kingdom,5.722,5.2326,6.317,5.7181,6.9797,6.6856,5.68856,7.17294,8.6488143,9.615697,9.9145453,9.547648,11.1295846,10.6924005,14.1513605,16.9452,18.1173067,19.6896229,21.904712,25.2438126,26.1802659,35.2121764,41.2479486,53.213813,64.5224014,83.3638284,83.0034715,98.87847,110.13021,119.72604,134.2786,122.1894,135.0115,135.0005
United States,352.927779,351.336792,319.566618,349.687021,329.679961,378.195587,416.183508,425.647123,391.287308,388.134594,345.512447,284.450176,341.017397,353.214244,349.484769,357.765145,386.308416,352.806936,382.160724,421.401354,430.95791,517.999904,502.347284,532.790171,552.527162,562.26065,631.191855,714.53576,741.13754,769.13313,830.49026,870.98488,968.617344,973.66734
Upper-middle-income countries,688.714983,704.873112,732.266484,788.301313,821.046205,872.677881,871.137694,893.291258,912.786388,915.529842,966.282464,993.826297,1022.28427,1032.05846,1163.94637,1236.48779,1315.57821,1390.54143,1555.42881,1577.91679,1744.00533,1789.57841,1993.90069,2096.66568,2279.698,2405.47697,2601.64256,2789.14133,3031.52125,3275.47498,3487.37549,3772.53729,4107.09126,4372.28316
Uzbekistan,6.648,6.031,6.281,7.358,7.156,6.188,6.525,5.777,5.758,5.692,5.879,6.017,6.186,7.1548724,6.4934173,6.875604,5.8497224,6.4571,4.3859,6.4833,8.1921,5.7213,6.3549814,6.27,6.185008,6.020495,6.864457,7.935843,5.904127,6.48441,5.0060627,5.060381,5.497021,7.316221
Venezuela,36.983,44.542,47.271,47.478,51.284,51.45,53.847,57.268,57.923,60.6,62.886,60.441,59.534,60.532,70.075,77.08849,81.41334,83.03442,86.7129,85.83926,76.66224,83.15769,81.74076,81.58961,80.55254,74.87451,63.07298,70.15237,65.32357,62.85107,67.211728,67.8662636,68.52913,65.609299
Vietnam,5.369,6.317,7.228,7.965,9.243,10.582,12.008,11.657,11.095,13.774,14.551,18.21,18.198,18.986,17.818,16.585,19.776,22.516,26.0407,30.0506,28.625966,41.178268,53.408966,57.952483,62.299505,56.320669,64.26929,86.505992,84.078,72.009,84.95,108.485,131.129,118.826
Western Africa (EI),12.009091,13.987132,14.378202,13.778475,13.586128,14.288279,14.821882,15.16168,12.048942,14.106487,15.134909,15.5374,16.4388867,14.6186973,16.8103614,16.4569609,14.9843758,13.4679094,15.5924225,15.2742336,17.279757,17.522901,17.969341,17.436141,18.2525394,16.5120818,19.2289034,19.6175295,21.0055653,23.816359,24.0028566,26.0492377,27.7499485,30.6729582
World,2279.86417,2335.39634,2344.6734,2483.061,2504.31094,2638.94137,2677.43353,2735.5456,2765.89211,2799.24876,2863.98715,2810.41632,2886.98886,2906.80732,3141.15869,3275.50619,3433.51629,3546.96703,3801.57729,3883.48859,4189.85709,4397.64395,4705.61247,5028.27512,5297.58804,5512.61542,5860.79185,6241.50756,6666.7992,7034.98809,7511.8756,7956.254,8530.1056,8988.39435
